State,Deaths,Births,MMR
Alabama,169.0,348033.0,48.55861369467838
Tennessee,229.0,486847.0,47.03736492162835
Georgia,344.0,750288.0,45.84906062738575
North Carolina,294.0,716438.0,41.03634927237248
Louisiana,133.0,344713.0,38.58282107144204
Texas,800.0,2275653.0,35.15474459418901
Kentucky,110.0,315139.0,34.90523229432092
Mississippi,72.0,213303.0,33.75479951055541
Virginia,192.0,576086.0,33.328357224442186
Ohio,247.0,783661.0,31.51873067563653
New York,379.0,1279198.0,29.627938755376412
Florida,373.0,1313291.0,28.401930722132416
Missouri,114.0,420187.0,27.130777487166426
Michigan,170.0,628368.0,27.05421027168793
Indiana,128.0,479667.0,26.685179509951695
South Carolina,90.0,342105.0,26.307712544394263
New Jersey,156.0,604130.0,25.822256799033322
Arkansas,51.0,215437.0,23.67281386205712
Pennsylvania,182.0,790382.0,23.026840186137843
Illinois,153.0,803555.0,19.040389270180633
California,393.0,2561478.0,15.342704485457224
Arizona,67.0,471577.0,14.207647955689104
Oregon,34.0,242526.0,14.019115476278833
Maryland,49.0,412424.0,11.880976858766706
Washington,53.0,502242.0,10.552681774921254
Wisconsin,36.0,369452.0,9.74416162316079
West Virginia,10.0,104311.0,9.586716645416113
New Mexico,10.0,131766.0,7.589211177390222
Iowa,14.0,220914.0,6.337307730610102
Massachusetts,21.0,409426.0,5.12913200431824
Oklahoma,12.0,291119.0,4.122025700830244
Utah,10.0,277178.0,3.607789940038531
Colorado,13.0,374055.0,3.4754247370039164
Minnesota,13.0,386921.0,3.359858989302726
South Dakota,0.0,67938.0,0.0
Vermont,0.0,31567.0,0.0
Rhode Island,0.0,61241.0,0.0
Delaware,0.0,63211.0,0.0
North Dakota,0.0,60382.0,0.0
Connecticut,0.0,207929.0,0.0
New Hampshire,0.0,72078.0,0.0
Nevada,0.0,203041.0,0.0
Nebraska,0.0,147556.0,0.0
Montana,0.0,66748.0,0.0
Alaska,0.0,57021.0,0.0
District of Columbia,0.0,51712.0,0.0
Maine,0.0,71228.0,0.0
Hawaii,0.0,95385.0,0.0
Idaho,0.0,132131.0,0.0
Kansas,0.0,209126.0,0.0
Wyoming,0.0,37361.0,0.0
