State,Year,Deaths,Births,MMR
Alabama,2018,30.0,57755.0,51.94
Alabama,2019,32.0,58608.0,54.6
Alabama,2020,32.0,57637.0,55.52
Alabama,2021,45.0,58046.0,77.52
Alabama,2022,16.0,58136.0,27.52
Alabama,2023,14.0,57851.0,24.2
Arizona,2018,20.0,80720.0,24.78
Arizona,2020,18.0,76944.0,23.39
Arizona,2021,15.0,77908.0,19.25
Arizona,2022,14.0,78541.0,17.83
Arkansas,2018,10.0,37003.0,27.02
Arkansas,2020,12.0,35233.0,34.06
Arkansas,2021,19.0,35953.0,52.85
Arkansas,2023,10.0,35249.0,28.37
California,2018,77.0,454920.0,16.93
California,2019,53.0,446479.0,11.87
California,2020,69.0,420259.0,16.42
California,2021,90.0,420608.0,21.4
California,2022,52.0,419104.0,12.41
California,2023,52.0,400108.0,13.0
Colorado,2022,13.0,62381.0,20.84
Florida,2018,49.0,221537.0,22.12
Florida,2019,58.0,219998.0,26.36
Florida,2020,58.0,209669.0,27.66
Florida,2021,97.0,216257.0,44.85
Florida,2022,53.0,224432.0,23.62
Florida,2023,58.0,221398.0,26.2
Georgia,2018,58.0,126161.0,45.97
Georgia,2019,59.0,126366.0,46.69
Georgia,2020,42.0,122461.0,34.3
Georgia,2021,84.0,124067.0,67.71
Georgia,2022,51.0,126125.0,40.44
Georgia,2023,50.0,125108.0,39.97
Illinois,2018,13.0,144803.0,8.98
Illinois,2019,12.0,140121.0,8.56
Illinois,2020,28.0,133293.0,21.01
Illinois,2021,39.0,132184.0,29.5
Illinois,2022,35.0,128341.0,27.27
Illinois,2023,26.0,124813.0,20.83
Indiana,2018,17.0,81637.0,20.82
Indiana,2019,27.0,80849.0,33.4
Indiana,2020,22.0,78607.0,27.99
Indiana,2021,24.0,79938.0,30.02
Indiana,2022,17.0,79638.0,21.35
Indiana,2023,21.0,78998.0,26.58
Iowa,2021,14.0,36835.0,38.01
Kentucky,2018,23.0,53916.0,42.66
Kentucky,2019,16.0,53068.0,30.15
Kentucky,2020,21.0,51660.0,40.65
Kentucky,2021,20.0,52208.0,38.31
Kentucky,2022,11.0,52311.0,21.03
