State,MMR_2021,MMR_2023,Change,Pct_Change
Alabama,77.52472177238741,24.20010025755821,-53.324621514829204,-68.78402178777282
New Jersey,39.41197335750601,13.86138613861386,-25.550587218892147,-64.82950495049505
Louisiana,71.38255828124728,30.955242361338726,-40.42731591990856,-56.634725475409454
Ohio,47.0022576494248,22.854440854283236,-24.147816795141562,-51.37586576213553
Virginia,53.224796493425174,25.905337578930325,-27.31945891449485,-51.32844221935091
Michigan,28.577688446040558,15.13317191283293,-13.444516533207628,-47.045500403551245
Arkansas,52.84677217478374,28.369599137564187,-24.47717303721955,-46.31725274774498
Mississippi,62.603152922429004,34.833091436865026,-27.77006148556398,-44.358886396622246
Texas,54.33909738208684,30.416761182026274,-23.922336200060567,-44.02416924935284
Florida,44.85403940681689,26.197165286045944,-18.656874120770944,-41.59463532717074
Georgia,67.705352752948,39.96546983406337,-27.739882918884632,-40.97147683449119
New York,36.53895432156178,21.610471255617497,-14.928483065944285,-40.8563500054377
California,21.39759586122946,12.99649094744419,-8.401104913785268,-39.261910395304376
Tennessee,68.53925708340982,42.1615631098369,-26.377693973572924,-38.48552653769243
Pennsylvania,27.899892170687014,19.69403349561217,-8.205858675074843,-29.411793511145962
Illinois,29.50432730133753,20.831163420477033,-8.673163880860496,-29.396243446863174
North Carolina,55.62427875235573,42.4755765434875,-13.14870220886823,-23.638422832244586
Indiana,30.023268032725362,26.582951467125753,-3.440316565599609,-11.458834400870899
Washington,14.300866394155713,13.591657193693472,-0.7092092004622419,-4.959204434998931
Missouri,35.99867524875085,34.268005602073956,-1.730669646676894,-4.807592598110809
Kentucky,38.30830524057616,36.55533323072187,-1.7529720098542896,-4.575958134523637
Wisconsin,16.19197202027235,18.411274394938573,2.219302374666224,13.706189535701133
