State,Year,Deaths,Births,MMR
Alabama,2021.0,45.0,58046.0,77.52472177238741
Louisiana,2021.0,41.0,57437.0,71.38255828124728
Tennessee,2021.0,56.0,81705.0,68.53925708340982
Georgia,2021.0,84.0,124067.0,67.705352752948
Mississippi,2021.0,22.0,35142.0,62.603152922429004
Tennessee,2020.0,48.0,78684.0,61.003507701692854
South Carolina,2021.0,34.0,57183.0,59.45823059300841
Louisiana,2020.0,32.0,57327.0,55.82011966438153
North Carolina,2021.0,67.0,120451.0,55.62427875235573
Alabama,2020.0,32.0,57637.0,55.51989173621111
West Virginia,2018.0,10.0,18228.0,54.86065393899496
Alabama,2019.0,32.0,58608.0,54.600054600054605
Texas,2021.0,203.0,373580.0,54.33909738208684
Virginia,2022.0,51.0,95623.0,53.33444882507347
Virginia,2021.0,51.0,95820.0,53.224796493425174
Arkansas,2021.0,19.0,35953.0,52.84677217478374
Missouri,2020.0,36.0,69275.0,51.96679898953447
Alabama,2018.0,30.0,57755.0,51.94355467059129
Tennessee,2022.0,42.0,82257.0,51.059484299208584
North Carolina,2020.0,58.0,116717.0,49.69284680038041
Ohio,2021.0,61.0,129781.0,47.0022576494248
North Carolina,2022.0,57.0,121543.0,46.89698296076286
New Mexico,2021.0,10.0,21381.0,46.77049717038492
Georgia,2019.0,59.0,126366.0,46.68977414810946
Georgia,2018.0,58.0,126161.0,45.97300275045379
Florida,2021.0,97.0,216257.0,44.85403940681689
Mississippi,2019.0,16.0,36609.0,43.70509983883744
Kentucky,2018.0,23.0,53916.0,42.658950960753764
North Carolina,2023.0,51.0,120069.0,42.4755765434875
Virginia,2020.0,40.0,94744.0,42.21903233977877
Tennessee,2023.0,35.0,83014.0,42.1615631098369
Texas,2020.0,154.0,368183.0,41.827026234236776
Kentucky,2020.0,21.0,51660.0,40.65040650406504
Georgia,2022.0,51.0,126125.0,40.43607532210109
South Carolina,2019.0,23.0,57031.0,40.32894390769932
Georgia,2023.0,50.0,125108.0,39.96546983406337
Ohio,2022.0,51.0,128230.0,39.77228417686969
New Jersey,2021.0,40.0,101492.0,39.41197335750601
Kentucky,2021.0,20.0,52208.0,38.30830524057616
Iowa,2021.0,14.0,36835.0,38.00732998506855
Texas,2022.0,148.0,389734.0,37.974618586009946
Kentucky,2023.0,19.0,51976.0,36.55533323072187
New York,2021.0,77.0,210734.0,36.53895432156178
Missouri,2021.0,25.0,69447.0,35.99867524875085
New Jersey,2022.0,37.0,102889.0,35.961084275286964
Mississippi,2023.0,12.0,34450.0,34.833091436865026
